business_name,address,phone,category,subcategory,query,rating,reviews,google_maps_url,source_file
ATX MetroBike,"2525 S Lakeshore Blvd, Austin, TX 78741, United States",-,Automobile,Bike_Rentals,Bike rentals in Austin Texas,2.8,4,https://www.google.com/maps/place/ATX+MetroBike/data=!4m7!3m6!1s0x8644b5991fd1976b:0x2af0ae8e709194fe!8m2!3d30.2426952!4d-97.7176306!16s%2Fg%2F11gycwqy52!19sChIJa5fRH5m1RIYR_pSRcI6u8Co?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"2171 Barton Springs Rd, Austin, TX 78746, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b53c62d46eb7:0x1658b830c60d47a!8m2!3d30.2658809!4d-97.7682147!16s%2Fg%2F11fxzp9r0j!19sChIJt27UYjy1RIYRetRgDIOLZQE?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1201-1239 W Riverside Dr, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,3.5,4,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b510bc7a45e5:0x9ac05fe3469f9fba!8m2!3d30.2643163!4d-97.7560826!16s%2Fg%2F11clgsv70d!19sChIJ5UV6vBC1RIYRup-fRuNfwJo?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1300 S Congress Ave, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b4fda26adb99:0xd0a90952add90415!8m2!3d30.2510668!4d-97.7492559!16s%2Fg%2F11g9m8nff0!19sChIJmdtqov20RIYRFQTZrVIJqdA?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1199 S Congress Ave, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.0,3,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b4fd8cc85669:0x81b5ffd9cf28a83c!8m2!3d30.2522111!4d-97.7488324!16s%2Fg%2F11cjk44qrt!19sChIJaVbIjP20RIYRPKgoz9n_tYE?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"310 Bowie St, Austin, TX 78703, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5121ce78f4f:0x1af177e5c3c5519b!8m2!3d30.2692211!4d-97.7535079!16s%2Fg%2F11cjk2dxgw!19sChIJT4_nHBK1RIYRm1HFw-V38Ro?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"101 Red River St, Austin, TX 78701, United States",-,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b59c18914607:0x6fb332909c8e847!8m2!3d30.2619997!4d-97.7386694!16s%2Fg%2F11p0vvw90z!19sChIJB0aRGJy1RIYRR-jICSkz-wY?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"2242 Guadalupe St, Austin, TX 78705, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.5,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b577df22c9cf:0xf47fd6b93c44f30b!8m2!3d30.2856619!4d-97.7418254!16s%2Fg%2F11ckz2ns_y!19sChIJz8ki33e1RIYRC_NEPLnWf_Q?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
Metrobike,"672 Henderson St, Austin, TX 78703, United States",-,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/Metrobike/data=!4m7!3m6!1s0x8644b56319e0732f:0x605694a81eb9a255!8m2!3d30.2721787!4d-97.7524672!16s%2Fg%2F11t5dlb246!19sChIJL3PgGWO1RIYRVaK5HqiUVmA?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"500 W 16th St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,5.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b574d0df3b21:0xb9a7a1a25aa59b13!8m2!3d30.2793285!4d-97.7437212!16s%2Fg%2F11g9jm35j6!19sChIJITvf0HS1RIYRE5ulWqKhp7k?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"600 Congress Ave., Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b509bfca3973:0xf326a754215e507a!8m2!3d30.2682681!4d-97.7428987!16s%2Fg%2F11fxzp0kvb!19sChIJcznKvwm1RIYRelBeIVSnJvM?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1872 Barton Springs Rd, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,3.0,4,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b517dff89167:0x821980f0178c3063!8m2!3d30.2641449!4d-97.7639082!16s%2Fg%2F11g9jmsnsb!19sChIJZ5H43xe1RIYRYzCMF_CAGYI?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1090 Congress Ave., Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.0,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50a7f00041b:0xf024e6080907a4c!8m2!3d30.2725655!4d-97.7412852!16s%2Fg%2F11f03p7yxg!19sChIJGwQAfwq1RIYRTHqQgGBOAg8?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"100 W Cesar Chavez St, Austin, TX 78703, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50625692725:0xa7009ae783a77fa8!8m2!3d30.2633188!4d-97.7450616!16s%2Fg%2F11fxzp47cn!19sChIJJSdpJQa1RIYRqH-ng-eaAKc?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"600 W 26th St, Austin, TX 78705, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,3.8,4,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b578ef988745:0x665cd12b6faaddce!8m2!3d30.2906717!4d-97.7429444!16s%2Fg%2F11f3_1jvpm!19sChIJRYeY73i1RIYRzt2qbyvRXGY?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"305 S Congress Ave, Austin, TX 78704, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,2.5,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5014b26fd19:0xb4d9a57d109d2f84!8m2!3d30.2586788!4d-97.7461427!16s%2Fg%2F11g9jk5v4w!19sChIJGf0mSwG1RIYRhC-dEH2l2bQ?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1106 E 11th St, Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5bb08cce53d:0x891f0c24e2175a5c!8m2!3d30.2689712!4d-97.7284302!16s%2Fg%2F11bw4vmbv6!19sChIJPeXMCLu1RIYRXFoX4iQMH4k?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"602 Lavaca St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5092d0e344f:0xf209f00583f81a99!8m2!3d30.2689439!4d-97.74524!16s%2Fg%2F11bxjc2yg1!19sChIJTzQOLQm1RIYRmRr4gwXwCfI?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"80 Lavaca St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b508b033a5af:0x1a47f2d66ba3c8a6!8m2!3d30.2647602!4d-97.7466799!16s%2Fg%2F11f0046ncl!19sChIJr6UzsAi1RIYRpsija9byRxo?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"606 Trinity St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5a7a9f6404b:0xbe4558710c607a44!8m2!3d30.2671762!4d-97.7391976!16s%2Fg%2F11f33_b0q8!19sChIJS0D2qae1RIYRRHpgDHFYRb4?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"2498 E 6th St, Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,2.0,4,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5cbf37d6233:0x5d841a712aed6b14!8m2!3d30.2590232!4d-97.7148244!16s%2Fg%2F11b8_pyy1_!19sChIJM2J988u1RIYRFGvtKnEahF0?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"212 Trinity St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,3.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5a874a65501:0xacc6c9558ce1de5e!8m2!3d30.2642624!4d-97.7403032!16s%2Fg%2F11clgs327_!19sChIJAVWmdKi1RIYRXt7hjFXJxqw?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"900 Electric Dr, Austin, TX 78703, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,1.5,2,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b511afab81e1:0x6d500d547724a1d4!8m2!3d30.2670276!4d-97.754739!16s%2Fg%2F11ckz3y12t!19sChIJ4YGrrxG1RIYR1KEkd1QNUG0?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1009 E 11th St, Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,1.5,4,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5bb4b126991:0x47ff3c6e32fda58!8m2!3d30.2695683!4d-97.7306599!16s%2Fg%2F11bwm3xlh2!19sChIJkWkSS7u1RIYRWNov48bzfwQ?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"111 E 8th St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b509fea6005b:0xa93d51d9a452ab4a!8m2!3d30.2698037!4d-97.7422946!16s%2Fg%2F11cjk4wcqg!19sChIJWwCm_gm1RIYRSqtSpNlRPak?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"2200 S Lakeshore Blvd, Austin, TX 78741, United States",-,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b53f47201bcf:0x396a510321db5e13!8m2!3d30.2446719!4d-97.7231386!16s%2Fg%2F11rghsxw6j!19sChIJzxsgRz-1RIYRE17bIQNRajk?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"311 Nueces St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,0.0,0,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b50ee3764bab:0xb8ab766f5e48452e!8m2!3d30.2670026!4d-97.7492362!16s%2Fg%2F11f00dz7jb!19sChIJq0t24w61RIYRLkVIXm92q7g?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"2201 Barton Springs Rd, Austin, TX 78746, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,1.8,5,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b53b192033a3:0xe03edcac9990be54!8m2!3d30.264517!4d-97.7713633!16s%2Fg%2F11cjrzvj62!19sChIJozMgGTu1RIYRVL6QmazcPuA?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"1501 E 5th St., Austin, TX 78702, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,1.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5b11cba23e3:0x3e63065a65fde3e9!8m2!3d30.2621401!4d-97.7274676!16s%2Fg%2F11bw4wfm5f!19sChIJ4yO6HLG1RIYR6eP9ZVoGYz4?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ZuGo Bike,"300 S Lamar Blvd, Austin, TX 78704, United States",-,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.3,87,https://www.google.com/maps/place/ZuGo+Bike/data=!4m7!3m6!1s0x8644b51416d6be09:0x41e016862e4d8a94!8m2!3d30.2628555!4d-97.7585568!16s%2Fg%2F11fs_r7gtl!19sChIJCb7WFhS1RIYRlIpNLoYW4EE?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"120 W 4th St, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,1.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b508446fbe6d:0xc8ccd6eaa1ca8435!8m2!3d30.2663655!4d-97.7438249!16s%2Fg%2F11fxzl_gmd!19sChIJbb5vRAi1RIYRNYTKoerWzMg?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
Austin B-cycle Station @Mopac Pedestrian Bridge,"Ann and Roy Butler Hike and Bike Trail, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,4.0,4,https://www.google.com/maps/place/Austin+B-cycle+Station+@Mopac+Pedestrian+Bridge/data=!4m7!3m6!1s0x8644b547643150e5:0x1e516077ff66ff7e!8m2!3d30.2745116!4d-97.7699247!16s%2Fg%2F11cjk412j9!19sChIJ5VAxZEe1RIYRfv9m_3dgUR4?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
ATX MetroBike Station,"782 San Jacinto Blvd, Austin, TX 78701, United States",+1 512-954-1665,Automobile,Bike_Rentals,Bike rentals in Austin Texas,1.0,1,https://www.google.com/maps/place/ATX+MetroBike+Station/data=!4m7!3m6!1s0x8644b5a73ca205a5:0xb82d280595a1aa15!8m2!3d30.2687801!4d-97.7397786!16s%2Fg%2F11fxzntch7!19sChIJpQWiPKe1RIYRFaqhlQUoLbg?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Austin_Texas.csv
EagleRider Motorcycle Rentals and Tours Chicago,-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,4.6,241,https://www.google.com/maps/place/EagleRider+Motorcycle+Rentals+and+Tours+Chicago/data=!4m7!3m6!1s0x880fb5e6be1e2c01:0x3f2c0d7f76dbd229!8m2!3d42.0079498!4d-87.9334066!16s%2Fg%2F11b7ybjx0r!19sChIJASwevua1D4gRKdLbdn8NLD8?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
RentaBikeNow for Store #361,-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,0.0,0,https://www.google.com/maps/place/RentaBikeNow+for+Store+%23361/data=!4m7!3m6!1s0x880efd14b5449e7b:0x82e32da574abc433!8m2!3d41.8872125!4d-88.3006205!16s%2Fg%2F1263wbb_s!19sChIJe55EtRT9DogRM8SrdKUt44I?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
Wicker Bicycle Rentals,-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,4.5,51,https://www.google.com/maps/place/Wicker+Bicycle+Rentals/data=!4m7!3m6!1s0x880fd34ea108579b:0xe3bd872bc38c2af!8m2!3d41.903751!4d-87.6665323!16s%2Fg%2F11kjyjhnlf!19sChIJm1cIoU7TD4gRr8I4vHLYOw4?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
Bike and Roll Chicago - Millennium Park (34 S. Michigan Ave),-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,4.0,118,https://www.google.com/maps/place/Bike+and+Roll+Chicago+-+Millennium+Park+%2834+S.+Michigan+Ave%29/data=!4m7!3m6!1s0x880e2b52643f778f:0xb8244a2282305229!8m2!3d41.8810973!4d-87.6248373!16s%2Fg%2F12vshq13x!19sChIJj3c_ZFIrDogRKVIwgiJKJLg?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
"3rd Coast Cycles: Mobile Bicycle Repair, Rental, Tours, and Sales",-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,4.8,232,"https://www.google.com/maps/place/3rd+Coast+Cycles:+Mobile+Bicycle+Repair,+Rental,+Tours,+and+Sales/data=!4m7!3m6!1s0x880e2b5a044882f7:0xc9b74ec7e04bdde4!8m2!3d41.8848702!4d-87.6132576!16s%2Fg%2F11c7sx6y0v!19sChIJ94JIBForDogR5N1L4MdOt8k?authuser=0&hl=en&rclk=1",Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
"Bobby's Bike Hike - Chicago Bike, Walking & Food Tours",-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,4.9,1297,"https://www.google.com/maps/place/Bobby%27s+Bike+Hike+-+Chicago+Bike,+Walking+%26+Food+Tours/data=!4m7!3m6!1s0x880e2b55e614c4bb:0x935c7988c388b788!8m2!3d41.8925616!4d-87.6150356!16s%2Fg%2F1v76_7h0!19sChIJu8QU5lUrDogRiLeIw4h5XJM?authuser=0&hl=en&rclk=1",Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
Bike and Roll Chicago - Navy Pier,-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,3.7,59,https://www.google.com/maps/place/Bike+and+Roll+Chicago+-+Navy+Pier/data=!4m7!3m6!1s0x880e2b527353205f:0xc85660e4a8ba1c93!8m2!3d41.8910672!4d-87.6109095!16s%2Fg%2F12qgtjgrn!19sChIJXyBTc1IrDogRkxy6qORgVsg?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
Lakeshore Bike,-,-,Automobile,Bike_Rentals,Bike rentals in Chicago Illinois,4.1,105,https://www.google.com/maps/place/Lakeshore+Bike/data=!4m7!3m6!1s0x880fd3beaa2ae63f:0xf884e09aec6f0d3e!8m2!3d41.9506081!4d-87.6431333!16s%2Fg%2F1tsykst3!19sChIJP-Yqqr7TD4gRPg1v7JrghPg?authuser=0&hl=en&rclk=1,Automobile/Bike_Rentals/Bike_rentals_in_Chicago_Illinois.csv
